feature id fc pval qval
1 gene NONMMUG049745.1 3.93025280563394 5.91341572375725e-07 0.0124104855794493
2 gene ENSMUSG00000032014.6 0.379511844967377 2.00198322292122e-05 0.18432411514883
3 gene ENSMUSG00000005103.12 0.522593365092384 2.69242887662724e-05 0.18432411514883
4 gene ENSMUSG00000079559.4 3.20361457320247 3.51311030921675e-05 0.18432411514883
5 gene NONMMUG008418.2 5.38138780119515 5.58232823547611e-05 0.21346992048434
6 gene NONMMUG093947.1 5.55335654543822 6.10291858248457e-05 0.21346992048434
7 gene NONMMUG038229.2 2.98475600432272 8.04587716143335e-05 0.241226891410002
8 gene NONMMUG006193.2 0.0881746705387585 0.000183640432312338 0.389510979392573
9 gene NONMMUG053250.1 0.0733412121680524 0.000188196482812542 0.389510979392573
10 gene NONMMUG024980.2 3.2257760725168 0.000230350135218549 0.389510979392573
11 gene NONMMUG008384.2 3.94495032850453 0.000233001673210831 0.389510979392573
12 gene NONMMUG023154.2 3.39096851376887 0.000240500152066669 0.389510979392573
13 gene NONMMUG052330.1 4.74524963279035 0.000241275205227209 0.389510979392573
14 gene ENSMUSG00000058230.12 0.134449132183539 0.000273466378186704 0.409945634214597
15 gene NONMMUG090734.1 2.26790384517315 0.000299263667977501 0.418709773322921
16 gene ENSMUSG00000014294.4 0.184671587288822 0.000338992015387563 0.444651589183673
17 gene NONMMUG075479.1 4.30414377753773 0.000398797763825565 0.468662825333892
18 gene NONMMUG024114.2 0.289053504844616 0.000430761636152299 0.468662825333892
19 gene ENSMUSG00000029203.16 0.283848594606035 0.00048875584177932 0.468662825333892
20 gene NONMMUG069723.1 5.05312801874102 0.000489229216502185 0.468662825333892
21 gene ENSMUSG00000051890.13 4.63593032370892 0.000517024715658398 0.468662825333892
22 gene ENSMUSG00000079162.8 0.238528998277168 0.000530573243482602 0.468662825333892
23 gene ENSMUSG00000022816.11 0.212880293930224 0.000548899295267247 0.468662825333892
24 gene NONMMUG038933.2 11.2911366963098 0.000556419502776961 0.468662825333892
25 gene ENSMUSG00000028882.13 0.208306126227765 0.000571558589681498 0.468662825333892
26 gene NONMMUG049569.2 6.07650854180075 0.000598328234326262 0.468662825333892
27 gene ENSMUSG00000002658.9 0.228157403389256 0.000605863983232924 0.468662825333892
28 gene NONMMUG094051.1 6.94094834432401 0.000653402892510258 0.468662825333892
29 gene NONMMUG039461.2 0.128290333447552 0.000683769586017902 0.468662825333892
30 gene NONMMUG092374.1 2.67945864661772 0.00069895029850664 0.468662825333892
31 gene ENSMUSG00000062981.5 0.173976457852482 0.000703598109917714 0.468662825333892
32 gene NONMMUG044572.2 6.07130078118794 0.000717794426900564 0.468662825333892
33 gene ENSMUSG00000066892.14 0.36131706350753 0.000736926346596389 0.468662825333892
34 gene ENSMUSG00000024646.13 0.251199273236434 0.000789054521832533 0.471836826463526
35 gene ENSMUSG00000035150.15 0.344784997394987 0.000805428697292498 0.471836826463526
36 gene ENSMUSG00000042410.15 0.491318421386384 0.000819278805063162 0.471836826463526
37 gene NONMMUG041612.2 0.0361275820964335 0.000831846503985822 0.471836826463526
38 gene NONMMUG034372.2 14.8110507655616 0.000863622259962171 0.476969483416476
39 gene ENSMUSG00000032384.16 0.410352446488476 0.000903275168481654 0.48607784515191
40 gene ENSMUSG00000030748.9 0.305906448036497 0.000959483372770631 0.503416938608431
41 gene NONMMUG031655.2 2.76525856230887 0.00100266947075189 0.504129627021521
42 gene ENSMUSG00000040616.3 0.193100841628025 0.00100888380115804 0.504129627021521
43 gene NONMMUG036430.2 0.138359950569606 0.00105552256438579 0.515168652529409
44 gene ENSMUSG00000051579.10 0.174468199554757 0.00111758550668528 0.533062887018273
45 gene ENSMUSG00000035152.14 0.431950721541506 0.00117340540332256 0.539972187666299
46 gene NONMMUG023520.2 12.8641128551661 0.00118352888133844 0.539972187666299
47 gene NONMMUG005048.2 0.239519316245765 0.00123451708543398 0.551251278127724
48 gene ENSMUSG00000050213.6 0.28561856592615 0.00130626986434446 0.55869884448302
49 gene NONMMUG020078.2 10.2503021798695 0.00132683100685127 0.55869884448302
50 gene ENSMUSG00000030000.10 0.356832194794906 0.00133105933311817 0.55869884448302
51 gene ENSMUSG00000031865.16 4.3252139350542 0.00142378027307699 0.576022452249888
52 gene NONMMUG032592.2 8.50650308997592 0.00144862067179186 0.576022452249888
53 gene NONMMUG000706.2 29.2528657623498 0.00145467146182132 0.576022452249888
54 gene NONMMUG035969.2 0.0806359850541155 0.00164953159615422 0.628764512811004
55 gene NONMMUG032055.2 3.37607092300556 0.00171215502501976 0.628764512811004
56 gene ENSMUSG00000004631.15 0.308461194572765 0.00171788807213458 0.628764512811004
57 gene NONMMUG010663.2 0.226566206684352 0.00173244905079284 0.628764512811004
58 gene ENSMUSG00000021103.12 0.27708976505989 0.00173766339843895 0.628764512811004
59 gene ENSMUSG00000022400.9 0.363795125955978 0.0019942333236902 0.658706768158576
60 gene NONMMUG022464.2 16.349790001128 0.00202745781904357 0.658706768158576
61 gene ENSMUSG00000015961.8 0.087361139704706 0.00211820176831101 0.658706768158576
62 gene NONMMUG012931.2 4.7370380113658 0.00212924511479295 0.658706768158576
63 gene ENSMUSG00000054312.6 0.159518848176112 0.00213657989049065 0.658706768158576
64 gene ENSMUSG00000086784.2 4.8705700214999 0.00215006413511964 0.658706768158576
65 gene NONMMUG022781.2 2.4291848747884 0.00227885084700974 0.658706768158576
66 gene NONMMUG032200.2 3.14910979646208 0.00228311181043139 0.658706768158576
67 gene NONMMUG000340.2 3.58983255689374 0.00230708294938442 0.658706768158576
68 gene ENSMUSG00000002395.14 0.335319408633731 0.00232756662520539 0.658706768158576
69 gene NONMMUG000589.2 0.130300531574175 0.00234238780562679 0.658706768158576
70 gene NONMMUG023589.2 0.181213131765529 0.00241433605634989 0.658706768158576
71 gene ENSMUSG00000091931.5 0.112428490975179 0.00245837789004821 0.658706768158576
72 gene ENSMUSG00000062963.10 0.130865259186014 0.0024599488941881 0.658706768158576
73 gene NONMMUG074046.1 7.6857314253784 0.00251540964294628 0.658706768158576
74 gene ENSMUSG00000095180.8 0.228782070506154 0.00253484855591679 0.658706768158576
75 gene ENSMUSG00000016256.10 0.190671993183564 0.00254150177492851 0.658706768158576
